Date,HomeTeam,AwayTeam,Team,Batsman,Status,R,B,Min,4s,6s
25.07.2021 01:00,Ireland,South Africa,IRE Innings,Stirling P.,c Hendricks B. b Williams L.,18,14,17,2,1
25.07.2021 01:00,Ireland,South Africa,IRE Innings,O'Brien K.,c Malan J. b Linde G.,2,5,3,0,0
25.07.2021 01:00,Ireland,South Africa,IRE Innings,Balbirnie A.,lbw Linde G.,27,22,33,4,0
25.07.2021 01:00,Ireland,South Africa,IRE Innings,Tucker L.,c Klaasen H. b Mulder W.,19,17,24,2,0
25.07.2021 01:00,Ireland,South Africa,IRE Innings,Tector H.,c Markram A. b Mulder W.,5,6,9,0,0
25.07.2021 01:00,Ireland,South Africa,IRE Innings,Getkate S.,c Klaasen H. b Phehlukwayo A.,11,13,18,0,0
25.07.2021 01:00,Ireland,South Africa,IRE Innings,Singh S.,run out Bavuma T.,5,6,11,0,0
25.07.2021 01:00,Ireland,South Africa,IRE Innings,Adair M.,run out Phehlukwayo A.,8,9,10,1,0
25.07.2021 01:00,Ireland,South Africa,IRE Innings,McCarthy B.,not out,13,9,30,1,1
25.07.2021 01:00,Ireland,South Africa,IRE Innings,Young C.,c Mulder W. b Williams L.,22,15,16,3,1
25.07.2021 01:00,Ireland,South Africa,IRE Innings,White B.,not out,2,4,7,0,0
25.07.2021 01:00,Ireland,South Africa,RSA Innings,Bavuma T.,c Adair M. b McCarthy B.,72,51,73,6,2
25.07.2021 01:00,Ireland,South Africa,RSA Innings,Hendricks B.,c Tucker L. b Singh S.,69,48,59,7,1
25.07.2021 01:00,Ireland,South Africa,RSA Innings,Miller D.,not out,36,17,34,4,1
25.07.2021 01:00,Ireland,South Africa,RSA Innings,Klaasen H.,not out,7,5,20,1,0
23.07.2021 20:30,Zimbabwe,Bangladesh,BAN Innings,Naim M.,b Muzarabani B.,5,8,12,1,0
23.07.2021 20:30,Zimbabwe,Bangladesh,BAN Innings,Sarkar S.,c Raza S. b Muzarabani B.,8,7,15,1,0
23.07.2021 20:30,Zimbabwe,Bangladesh,BAN Innings,Hasan Mehidy,c Burl R. b Wellington Pedzisai M.,15,19,33,2,0
23.07.2021 20:30,Zimbabwe,Bangladesh,BAN Innings,Al Hasan S.,c Raza S. b Wellington Pedzisai M.,12,10,19,2,0
23.07.2021 20:30,Zimbabwe,Bangladesh,BAN Innings,Mahmudullah M.,c Chakabva R. b Wellington Pedzisai M.,4,6,9,0,0
23.07.2021 20:30,Zimbabwe,Bangladesh,BAN Innings,Hossain A.,c Shumba M. b Chatara T.,24,25,42,1,1
23.07.2021 20:30,Zimbabwe,Bangladesh,BAN Innings,Hasan N.,c Wellington Pedzisai M. b Chatara T.,9,8,11,1,0
23.07.2021 20:30,Zimbabwe,Bangladesh,BAN Innings,Hossain S.,c Wellington Pedzisai M. b Jongwe L.,29,13,17,3,2
23.07.2021 20:30,Zimbabwe,Bangladesh,BAN Innings,Saifuddin M.,c Raza S. b Jongwe L.,19,15,23,1,1
23.07.2021 20:30,Zimbabwe,Bangladesh,BAN Innings,Ahmed T.,c Wellington Pedzisai M. b Jongwe L.,5,8,16,0,0
23.07.2021 20:30,Zimbabwe,Bangladesh,BAN Innings,Shoriful I.,not out,0,0,4,0,0
23.07.2021 20:30,Zimbabwe,Bangladesh,ZIM Innings,Marumani T.,b Hasan Mehidy,3,5,8,0,0
23.07.2021 20:30,Zimbabwe,Bangladesh,ZIM Innings,Madhevere W.,c Hossain A. b Shoriful I.,73,57,82,5,3
23.07.2021 20:30,Zimbabwe,Bangladesh,ZIM Innings,Chakabva R.,c Shoriful I. b Al Hasan S.,14,9,17,1,1
23.07.2021 20:30,Zimbabwe,Bangladesh,ZIM Innings,Myers D.,c Hasan Mehidy b Shoriful I.,26,21,33,2,1
23.07.2021 20:30,Zimbabwe,Bangladesh,ZIM Innings,Raza S.,run out Sarkar S.,4,6,13,0,0
23.07.2021 20:30,Zimbabwe,Bangladesh,ZIM Innings,Burl R.,not out,34,19,25,2,2
23.07.2021 20:30,Zimbabwe,Bangladesh,ZIM Innings,Jongwe L.,c Al Hasan S. b Shoriful I.,2,3,14,0,0
23.07.2021 01:00,Ireland,South Africa,IRE Innings,Stirling P.,c Miller D. b Shamsi T.,19,23,31,1,1
23.07.2021 01:00,Ireland,South Africa,IRE Innings,O'Brien K.,c & b Fortuin B.,0,2,1,0,0
23.07.2021 01:00,Ireland,South Africa,IRE Innings,Balbirnie A.,c de Kock Q. b Hendricks B.,6,7,13,1,0
23.07.2021 01:00,Ireland,South Africa,IRE Innings,Dockrell G.,c Markram A. b Shamsi T.,20,20,27,1,1
23.07.2021 01:00,Ireland,South Africa,IRE Innings,Tector H.,c Fortuin B. b Markram A.,3,3,5,0,0
23.07.2021 01:00,Ireland,South Africa,IRE Innings,Getkate S.,c Bavuma T. b Shamsi T.,24,18,18,1,2
23.07.2021 01:00,Ireland,South Africa,IRE Innings,Tucker L.,b Fortuin B.,12,10,18,2,0
23.07.2021 01:00,Ireland,South Africa,IRE Innings,Singh S.,st de Kock Q. b Fortuin B.,1,3,11,0,0
23.07.2021 01:00,Ireland,South Africa,IRE Innings,Adair M.,not out,15,16,27,1,0
23.07.2021 01:00,Ireland,South Africa,IRE Innings,Young C.,c Mulder W. b Hendricks B.,0,4,5,0,0
23.07.2021 01:00,Ireland,South Africa,IRE Innings,Little J.,b Ngidi L.,9,11,16,1,0
23.07.2021 01:00,Ireland,South Africa,RSA Innings,Bavuma T.,c Little J. b Stirling P.,0,2,0,0,0
23.07.2021 01:00,Ireland,South Africa,RSA Innings,Malan J.,c Little J. b Stirling P.,0,2,1,0,0
23.07.2021 01:00,Ireland,South Africa,RSA Innings,Markram A.,b Adair M.,8,6,13,1,0
23.07.2021 01:00,Ireland,South Africa,RSA Innings,de Kock Q.,lbw Singh S.,27,20,27,5,0
23.07.2021 01:00,Ireland,South Africa,RSA Innings,van der Dussen R.,c Tucker L. b Little J.,6,15,29,0,0
23.07.2021 01:00,Ireland,South Africa,RSA Innings,Miller D.,not out,75,44,65,4,5
23.07.2021 01:00,Ireland,South Africa,RSA Innings,Mulder W.,c Balbirnie A. b Young C.,36,26,31,2,2
23.07.2021 01:00,Ireland,South Africa,RSA Innings,Fortuin B.,c Balbirnie A. b Adair M.,5,4,13,1,0
23.07.2021 01:00,Ireland,South Africa,RSA Innings,Hendricks B.,not out,0,1,5,0,0
22.07.2021 20:30,Zimbabwe,Bangladesh,BAN Innings,Naim M.,not out,63,51,99,6,0
22.07.2021 20:30,Zimbabwe,Bangladesh,BAN Innings,Sarkar S.,run out Wellington Pedzisai M.,50,45,64,4,2
22.07.2021 20:30,Zimbabwe,Bangladesh,BAN Innings,Mahmudullah M.,run out Muzarabani B.,15,12,19,1,0
22.07.2021 20:30,Zimbabwe,Bangladesh,BAN Innings,Hasan N.,not out,16,8,18,1,1
22.07.2021 20:30,Zimbabwe,Bangladesh,ZIM Innings,Madhevere W.,c & b Al Hasan S.,23,23,40,0,1
22.07.2021 20:30,Zimbabwe,Bangladesh,ZIM Innings,Marumani T.,c Sarkar S. b Rahman M.,7,7,13,0,1
22.07.2021 20:30,Zimbabwe,Bangladesh,ZIM Innings,Chakabva R.,run out Hasan N.,43,22,36,5,2
22.07.2021 20:30,Zimbabwe,Bangladesh,ZIM Innings,Myers D.,b Shoriful I.,35,22,28,2,0
22.07.2021 20:30,Zimbabwe,Bangladesh,ZIM Innings,Raza S.,c Hasan N. b Shoriful I.,0,3,4,0,0
22.07.2021 20:30,Zimbabwe,Bangladesh,ZIM Innings,Musakanda T.,lbw Sarkar S.,6,6,11,1,0
22.07.2021 20:30,Zimbabwe,Bangladesh,ZIM Innings,Burl R.,c Hossain S. b Saifuddin M.,4,6,28,0,0
22.07.2021 20:30,Zimbabwe,Bangladesh,ZIM Innings,Jongwe L.,b Saifuddin M.,18,16,18,2,0
22.07.2021 20:30,Zimbabwe,Bangladesh,ZIM Innings,Wellington Pedzisai M.,not out,4,3,11,0,0
22.07.2021 20:30,Zimbabwe,Bangladesh,ZIM Innings,Ngarava R.,b Rahman M.,0,2,4,0,0
22.07.2021 20:30,Zimbabwe,Bangladesh,ZIM Innings,Muzarabani B.,b Rahman M.,8,4,5,2,0
21.07.2021 03:30,England,Pakistan,ENG Innings,Roy J.,c Zaman F. b Qadir U.,64,36,47,12,1
21.07.2021 03:30,England,Pakistan,ENG Innings,Buttler J.,c Azam B. b Khan S.,21,22,35,3,0
21.07.2021 03:30,England,Pakistan,ENG Innings,Malan D.,b Hafeez M.,31,33,49,2,0
21.07.2021 03:30,England,Pakistan,ENG Innings,Bairstow J.,c Maqsood S. b Wasim I.,5,8,12,0,0
21.07.2021 03:30,England,Pakistan,ENG Innings,Ali Moeen,b Hafeez M.,1,3,8,0,0
21.07.2021 03:30,England,Pakistan,ENG Innings,Morgan E.,c Khan S. b Ali Hasan,21,12,25,1,2
21.07.2021 03:30,England,Pakistan,ENG Innings,Livingstone L.,c Maqsood S. b Hafeez M.,6,2,3,0,1
21.07.2021 03:30,England,Pakistan,ENG Innings,Jordan C.,not out,4,2,6,0,0
21.07.2021 03:30,England,Pakistan,ENG Innings,Willey D.,not out,0,0,3,0,0
21.07.2021 03:30,England,Pakistan,PAK Innings,Rizwan M.,not out,76,57,99,5,3
21.07.2021 03:30,England,Pakistan,PAK Innings,Azam B.,st Buttler J. b Rashid A.,11,13,28,1,0
21.07.2021 03:30,England,Pakistan,PAK Innings,Maqsood S.,c Roy J. b Rashid A.,13,12,13,2,0
21.07.2021 03:30,England,Pakistan,PAK Innings,Hafeez M.,c Bairstow J. b Rashid A.,1,2,5,0,0
21.07.2021 03:30,England,Pakistan,PAK Innings,Zaman F.,lbw Ali Moeen,24,20,29,1,1
21.07.2021 03:30,England,Pakistan,PAK Innings,Khan S.,c Livingstone L. b Rashid A.,2,5,8,0,0
21.07.2021 03:30,England,Pakistan,PAK Innings,Wasim I.,run out Bairstow J.,3,2,5,0,0
21.07.2021 03:30,England,Pakistan,PAK Innings,Ali Hasan,not out,15,9,14,1,1
20.07.2021 01:00,Ireland,South Africa,IRE Innings,Stirling P.,b Linde G.,6,2,1,0,1
20.07.2021 01:00,Ireland,South Africa,IRE Innings,Balbirnie A.,c de Kock Q. b Ngidi L.,22,16,24,4,0
20.07.2021 01:00,Ireland,South Africa,IRE Innings,O'Brien K.,c Rabada K. b Bavuma T.,0,1,5,0,0
20.07.2021 01:00,Ireland,South Africa,IRE Innings,Dockrell G.,c de Kock Q. b Ngidi L.,2,6,9,0,0
20.07.2021 01:00,Ireland,South Africa,IRE Innings,Tector H.,st de Kock Q. b Shamsi T.,36,34,52,3,0
20.07.2021 01:00,Ireland,South Africa,IRE Innings,Singh S.,b Shamsi T.,4,8,11,0,0
20.07.2021 01:00,Ireland,South Africa,IRE Innings,Tucker L.,b Linde G.,5,5,11,0,0
20.07.2021 01:00,Ireland,South Africa,IRE Innings,Getkate S.,b Shamsi T.,2,3,4,0,0
20.07.2021 01:00,Ireland,South Africa,IRE Innings,Adair M.,c Linde G. b Shamsi T.,0,2,2,0,0
20.07.2021 01:00,Ireland,South Africa,IRE Innings,McCarthy B.,not out,30,25,38,4,0
20.07.2021 01:00,Ireland,South Africa,IRE Innings,Little J.,not out,15,18,26,0,1
20.07.2021 01:00,Ireland,South Africa,RSA Innings,Bavuma T.,c Tucker L. b Singh S.,13,13,24,2,0
20.07.2021 01:00,Ireland,South Africa,RSA Innings,de Kock Q.,c Stirling P. b Adair M.,20,9,11,3,1
20.07.2021 01:00,Ireland,South Africa,RSA Innings,Malan J.,c Singh S. b Adair M.,4,5,7,0,0
20.07.2021 01:00,Ireland,South Africa,RSA Innings,Markram A.,st Tucker L. b Singh S.,39,30,45,2,2
20.07.2021 01:00,Ireland,South Africa,RSA Innings,van der Dussen R.,c Balbirnie A. b Little J.,25,18,21,2,1
20.07.2021 01:00,Ireland,South Africa,RSA Innings,Miller D.,c Tucker L. b Little J.,28,21,38,3,0
20.07.2021 01:00,Ireland,South Africa,RSA Innings,Linde G.,c Singh S. b Adair M.,10,13,16,1,0
20.07.2021 01:00,Ireland,South Africa,RSA Innings,Williams L.,not out,2,2,9,0,0
20.07.2021 01:00,Ireland,South Africa,RSA Innings,Rabada K.,not out,19,9,11,4,0
18.07.2021 23:30,England,Pakistan,PAK Innings,Rizwan M.,c & b Rashid A.,37,29,44,3,1
18.07.2021 23:30,England,Pakistan,PAK Innings,Azam B.,c Malan D. b Mahmood S.,22,16,23,3,0
18.07.2021 23:30,England,Pakistan,PAK Innings,Maqsood S.,st Buttler J. b Rashid A.,15,10,13,1,1
18.07.2021 23:30,England,Pakistan,PAK Innings,Hafeez M.,c Bairstow J. b Ali Moeen,10,12,17,0,0
18.07.2021 23:30,England,Pakistan,PAK Innings,Zaman F.,b Ali Moeen,8,8,11,1,0
18.07.2021 23:30,England,Pakistan,PAK Innings,Khan A. K.,st Buttler J. b Parkinson M.,1,4,7,0,0
18.07.2021 23:30,England,Pakistan,PAK Innings,Wasim I.,c Roy J. b Curran T.,20,13,21,1,1
18.07.2021 23:30,England,Pakistan,PAK Innings,Khan S.,not out,36,22,32,2,3
18.07.2021 23:30,England,Pakistan,PAK Innings,Afridi S.,c Jordan C. b Mahmood S.,2,4,9,0,0
18.07.2021 23:30,England,Pakistan,PAK Innings,Rauf H.,b Mahmood S.,0,1,2,0,0
18.07.2021 23:30,England,Pakistan,PAK Innings,Hasnain M.,not out,0,1,5,0,0
18.07.2021 23:30,England,Pakistan,ENG Innings,Roy J.,c Hafeez M. b Wasim I.,10,4,1,1,1
18.07.2021 23:30,England,Pakistan,ENG Innings,Buttler J.,c Azam B. b Hasnain M.,59,38,61,7,2
18.07.2021 23:30,England,Pakistan,ENG Innings,Malan D.,c Khan A. K. b Wasim I.,1,5,10,0,0
18.07.2021 23:30,England,Pakistan,ENG Innings,Ali Moeen,c Azam B. b Hasnain M.,36,16,27,6,1
18.07.2021 23:30,England,Pakistan,ENG Innings,Livingstone L.,run out Khan A. K.,38,24,39,2,3
18.07.2021 23:30,England,Pakistan,ENG Innings,Bairstow J.,c Zaman F. b Khan S.,13,7,8,2,0
18.07.2021 23:30,England,Pakistan,ENG Innings,Curran T.,c Maqsood S. b Hasnain M.,9,7,16,1,0
18.07.2021 23:30,England,Pakistan,ENG Innings,Jordan C.,c Khan S. b Rauf H.,14,8,14,1,1
18.07.2021 23:30,England,Pakistan,ENG Innings,Rashid A.,b Rauf H.,2,4,8,0,0
18.07.2021 23:30,England,Pakistan,ENG Innings,Parkinson M.,b Afridi S.,5,4,5,1,0
18.07.2021 23:30,England,Pakistan,ENG Innings,Mahmood S.,not out,3,3,7,0,0
17.07.2021 09:30,West Indies,Australia,AUS Innings,Philippe J.,c Simmons L. b Cottrell S.,0,4,7,0,0
17.07.2021 09:30,West Indies,Australia,AUS Innings,Finch A.,c Allen F. b Walsh H.,34,23,39,6,0
17.07.2021 09:30,West Indies,Australia,AUS Innings,Marsh M.,c & b Russell A.,30,15,15,5,1
17.07.2021 09:30,West Indies,Australia,AUS Innings,Henriques M.,run out Pooran N.,21,14,25,3,0
17.07.2021 09:30,West Indies,Australia,AUS Innings,Carey A.,c Simmons L. b Russell A.,9,14,19,1,0
17.07.2021 09:30,West Indies,Australia,AUS Innings,Wade M.,b Russell A.,26,18,26,3,1
17.07.2021 09:30,West Indies,Australia,AUS Innings,Tye A.,c Pooran N. b Cottrell S.,15,8,17,1,1
17.07.2021 09:30,West Indies,Australia,AUS Innings,Swepson M.,not out,14,12,23,0,1
17.07.2021 09:30,West Indies,Australia,AUS Innings,Behrendorff J.,c Allen F. b Cottrell S.,5,7,10,0,0
17.07.2021 09:30,West Indies,Australia,AUS Innings,Hazlewood J.,not out,13,5,5,1,1
17.07.2021 09:30,West Indies,Australia,AUS Innings,Zampa A.,run out Walsh H.,0,0,5,0,0
17.07.2021 09:30,West Indies,Australia,WIN Innings,Fletcher A.,b Zampa A.,12,16,20,0,1
17.07.2021 09:30,West Indies,Australia,WIN Innings,Lewis E.,c Ellis N. b Marsh M.,79,34,54,4,9
17.07.2021 09:30,West Indies,Australia,WIN Innings,Gayle C.,c Behrendorff J. b Swepson M.,21,7,13,2,2
17.07.2021 09:30,West Indies,Australia,WIN Innings,Simmons L.,c Tye A. b Marsh M.,21,25,40,1,1
17.07.2021 09:30,West Indies,Australia,WIN Innings,Pooran N.,c Carey A. b Tye A.,31,18,36,1,3
17.07.2021 09:30,West Indies,Australia,WIN Innings,Russell A.,c Carey A. b Tye A.,1,3,8,0,0
17.07.2021 09:30,West Indies,Australia,WIN Innings,Allen F.,c & b Zampa A.,1,4,5,0,0
17.07.2021 09:30,West Indies,Australia,WIN Innings,Bravo Dar.,c Finch A. b Tye A.,5,7,13,0,0
17.07.2021 09:30,West Indies,Australia,WIN Innings,Walsh H.,not out,12,8,10,1,1
17.07.2021 09:30,West Indies,Australia,WIN Innings,Cottrell S.,not out,1,1,4,0,0
17.07.2021 03:30,England,Pakistan,ENG Innings,Malan D.,c & b Afridi S.,1,6,11,0,0
17.07.2021 03:30,England,Pakistan,ENG Innings,Roy J.,c Azam B. b Khan S.,32,13,41,2,3
17.07.2021 03:30,England,Pakistan,ENG Innings,Bairstow J.,c Wasim I. b Afridi S.,11,7,12,1,1
17.07.2021 03:30,England,Pakistan,ENG Innings,Ali Moeen,c Rauf H. b Hasnain M.,1,4,8,0,0
17.07.2021 03:30,England,Pakistan,ENG Innings,Livingstone L.,c Afridi S. b Khan S.,103,43,62,6,9
17.07.2021 03:30,England,Pakistan,ENG Innings,Morgan E.,c Rauf H. b Wasim I.,16,15,29,0,1
17.07.2021 03:30,England,Pakistan,ENG Innings,Gregory L.,c Afridi S. b Khan S.,10,11,22,0,0
17.07.2021 03:30,England,Pakistan,ENG Innings,Willey D.,c Khan S. b Rauf H.,16,11,16,2,1
17.07.2021 03:30,England,Pakistan,ENG Innings,Curran T.,run out Khan S.,1,2,7,0,0
17.07.2021 03:30,England,Pakistan,ENG Innings,Mahmood S.,not out,0,2,11,0,0
17.07.2021 03:30,England,Pakistan,ENG Innings,Parkinson M.,b Afridi S.,0,2,4,0,0
17.07.2021 03:30,England,Pakistan,PAK Innings,Rizwan M.,c Bairstow J. b Gregory L.,63,41,65,8,1
17.07.2021 03:30,England,Pakistan,PAK Innings,Azam B.,c Bairstow J. b Willey D.,85,49,76,8,3
17.07.2021 03:30,England,Pakistan,PAK Innings,Maqsood S.,c Willey D. b Curran T.,19,7,8,1,2
17.07.2021 03:30,England,Pakistan,PAK Innings,Zaman F.,c Roy J. b Mahmood S.,26,8,22,1,3
17.07.2021 03:30,England,Pakistan,PAK Innings,Hafeez M.,b Curran T.,24,10,16,1,3
17.07.2021 03:30,England,Pakistan,PAK Innings,Khan A. K.,not out,5,3,8,1,0
17.07.2021 03:30,England,Pakistan,PAK Innings,Wasim I.,run out Mahmood S.,3,2,7,0,0
15.07.2021 09:30,West Indies,Australia,WIN Innings,Simmons L.,c Henriques M. b Marsh M.,72,48,77,10,2
15.07.2021 09:30,West Indies,Australia,WIN Innings,Lewis E.,b Zampa A.,31,14,24,4,2
15.07.2021 09:30,West Indies,Australia,WIN Innings,Gayle C.,c Behrendorff J. b Marsh M.,1,3,14,0,0
15.07.2021 09:30,West Indies,Australia,WIN Innings,Fletcher A.,b Zampa A.,6,14,15,1,0
15.07.2021 09:30,West Indies,Australia,WIN Innings,Pooran N.,c Christian D. b Marsh M.,16,15,24,1,1
15.07.2021 09:30,West Indies,Australia,WIN Innings,Allen F.,c Wade M. b Meredith R.,29,14,21,2,3
15.07.2021 09:30,West Indies,Australia,WIN Innings,Russell A.,not out,24,13,30,0,3
15.07.2021 09:30,West Indies,Australia,WIN Innings,Walsh H.,not out,0,0,8,0,0
15.07.2021 09:30,West Indies,Australia,AUS Innings,Wade M.,c Pooran N. b Thomas O.,5,4,11,1,0
15.07.2021 09:30,West Indies,Australia,AUS Innings,Finch A.,b Walsh H.,53,37,55,5,3
15.07.2021 09:30,West Indies,Australia,AUS Innings,Marsh M.,c Pooran N. b Allen F.,75,44,72,4,6
15.07.2021 09:30,West Indies,Australia,AUS Innings,Carey A.,c & b Walsh H.,0,1,1,0,0
15.07.2021 09:30,West Indies,Australia,AUS Innings,Henriques M.,c Allen F. b Russell A.,6,5,7,1,0
15.07.2021 09:30,West Indies,Australia,AUS Innings,Turner A.,st Pooran N. b Walsh H.,6,10,12,0,0
15.07.2021 09:30,West Indies,Australia,AUS Innings,Christian D.,not out,22,14,23,2,1
15.07.2021 09:30,West Indies,Australia,AUS Innings,Starc M.,not out,8,7,13,1,0
13.07.2021 09:30,West Indies,Australia,WIN Innings,Fletcher A.,c Marsh M. b Starc M.,4,3,3,1,0
13.07.2021 09:30,West Indies,Australia,WIN Innings,Gayle C.,c Wade M. b Meredith R.,67,38,29,4,7
13.07.2021 09:30,West Indies,Australia,WIN Innings,Simmons L.,c Starc M. b Meredith R.,15,13,5,3,0
13.07.2021 09:30,West Indies,Australia,WIN Innings,Pooran N.,not out,32,27,46,4,1
13.07.2021 09:30,West Indies,Australia,WIN Innings,Bravo Dw.,c Zampa A. b Meredith R.,7,7,13,1,0
13.07.2021 09:30,West Indies,Australia,WIN Innings,Russell A.,not out,7,2,9,0,1
13.07.2021 09:30,West Indies,Australia,AUS Innings,Wade M.,b McCoy O.,23,16,21,4,0
13.07.2021 09:30,West Indies,Australia,AUS Innings,Finch A.,c Allen F. b Walsh H.,30,31,49,2,0
13.07.2021 09:30,West Indies,Australia,AUS Innings,Marsh M.,lbw Allen F.,9,12,15,1,0
13.07.2021 09:30,West Indies,Australia,AUS Innings,Carey A.,c Simmons L. b Walsh H.,13,9,11,2,0
13.07.2021 09:30,West Indies,Australia,AUS Innings,Henriques M.,c Allen F. b Bravo Dw.,33,29,35,0,2
13.07.2021 09:30,West Indies,Australia,AUS Innings,Turner A.,run out Bravo Dw.,24,22,34,2,0
13.07.2021 09:30,West Indies,Australia,AUS Innings,Christian D.,not out,1,1,1,0,0
11.07.2021 09:30,West Indies,Australia,AUS Innings,Wade M.,c Russell A. b Cottrell S.,0,2,0,0,0
11.07.2021 09:30,West Indies,Australia,AUS Innings,Marsh M.,c Bravo Dw. b Walsh H.,54,42,55,5,1
11.07.2021 09:30,West Indies,Australia,AUS Innings,Finch A.,b Edwards F.,6,8,16,0,0
11.07.2021 09:30,West Indies,Australia,AUS Innings,Philippe J.,b Walsh H.,13,12,19,1,0
11.07.2021 09:30,West Indies,Australia,AUS Innings,Henriques M.,c Allen F. b Walsh H.,19,21,29,0,1
11.07.2021 09:30,West Indies,Australia,AUS Innings,McDermott B.,c Bravo Dw. b Russell A.,7,6,8,1,0
11.07.2021 09:30,West Indies,Australia,AUS Innings,Christian D.,b Bravo Dw.,9,10,16,1,0
11.07.2021 09:30,West Indies,Australia,AUS Innings,Agar A.,run out Walsh H.,1,1,2,0,0
11.07.2021 09:30,West Indies,Australia,AUS Innings,Starc M.,not out,8,8,24,0,0
11.07.2021 09:30,West Indies,Australia,AUS Innings,Zampa A.,c Hosein A. b Cottrell S.,3,4,7,0,0
11.07.2021 09:30,West Indies,Australia,AUS Innings,Hazlewood J.,b Gayle C.,4,2,4,1,0
11.07.2021 09:30,West Indies,Australia,WIN Innings,Simmons L.,c Wade M. b Hazlewood J.,30,21,25,1,3
11.07.2021 09:30,West Indies,Australia,WIN Innings,Fletcher A.,b Agar A.,9,7,10,0,1
11.07.2021 09:30,West Indies,Australia,WIN Innings,Gayle C.,b Marsh M.,13,16,26,2,0
11.07.2021 09:30,West Indies,Australia,WIN Innings,Hetmyer S.,run out Hazlewood J.,61,36,59,2,4
11.07.2021 09:30,West Indies,Australia,WIN Innings,Bravo Dw.,not out,47,34,60,1,3
11.07.2021 09:30,West Indies,Australia,WIN Innings,Russell A.,not out,24,8,12,2,2
10.07.2021 09:30,West Indies,Australia,AUS Innings,Wade M.,c Hetmyer S. b Russell A.,33,14,19,1,3
10.07.2021 09:30,West Indies,Australia,AUS Innings,Finch A.,c Lewis E. b Allen F.,4,5,5,0,0
10.07.2021 09:30,West Indies,Australia,AUS Innings,Marsh M.,c & b Walsh H.,51,31,54,5,2
10.07.2021 09:30,West Indies,Australia,AUS Innings,Philippe J.,c Bravo Dw. b McCoy O.,1,4,9,0,0
10.07.2021 09:30,West Indies,Australia,AUS Innings,Henriques M.,c Bravo Dw. b Allen F.,16,8,10,0,2
10.07.2021 09:30,West Indies,Australia,AUS Innings,McDermott B.,b Walsh H.,2,6,12,0,0
10.07.2021 09:30,West Indies,Australia,AUS Innings,Christian D.,c Bravo Dw. b Walsh H.,10,12,19,0,0
10.07.2021 09:30,West Indies,Australia,AUS Innings,Agar A.,c & b McCoy O.,1,5,6,0,0
10.07.2021 09:30,West Indies,Australia,AUS Innings,Starc M.,c Allen F. b McCoy O.,3,8,10,0,0
10.07.2021 09:30,West Indies,Australia,AUS Innings,Zampa A.,not out,1,2,10,0,0
10.07.2021 09:30,West Indies,Australia,AUS Innings,Hazlewood J.,c Pooran N. b McCoy O.,0,1,4,0,0
10.07.2021 09:30,West Indies,Australia,WIN Innings,Simmons L.,c Wade M. b Marsh M.,27,28,32,2,2
10.07.2021 09:30,West Indies,Australia,WIN Innings,Lewis E.,c Marsh M. b Hazlewood J.,0,2,4,0,0
10.07.2021 09:30,West Indies,Australia,WIN Innings,Gayle C.,c Agar A. b Hazlewood J.,4,10,20,1,0
10.07.2021 09:30,West Indies,Australia,WIN Innings,Hetmyer S.,c Starc M. b Marsh M.,20,25,51,1,0
10.07.2021 09:30,West Indies,Australia,WIN Innings,Pooran N.,run out Starc M.,17,16,23,3,0
10.07.2021 09:30,West Indies,Australia,WIN Innings,Russell A.,b Hazlewood J.,51,28,38,3,5
10.07.2021 09:30,West Indies,Australia,WIN Innings,Allen F.,not out,8,8,22,0,0
10.07.2021 09:30,West Indies,Australia,WIN Innings,Bravo Dw.,not out,7,3,4,0,1
04.07.2021 04:00,West Indies,South Africa,WIN Innings,Simmons L.,lbw Linde G.,3,6,14,0,0
04.07.2021 04:00,West Indies,South Africa,WIN Innings,Lewis E.,c Markram A. b Ngidi L.,52,34,55,5,3
04.07.2021 04:00,West Indies,South Africa,WIN Innings,Gayle C.,c de Kock Q. b Shamsi T.,11,9,28,0,1
04.07.2021 04:00,West Indies,South Africa,WIN Innings,Hetmyer S.,c Miller D. b Ngidi L.,33,31,57,1,2
04.07.2021 04:00,West Indies,South Africa,WIN Innings,Pollard K.,c Markram A. b Mulder W.,13,15,30,0,1
04.07.2021 04:00,West Indies,South Africa,WIN Innings,Russell A.,c Ngidi L. b Mulder W.,0,1,2,0,0
04.07.2021 04:00,West Indies,South Africa,WIN Innings,Pooran N.,c de Kock Q. b Rabada K.,20,14,22,0,2
04.07.2021 04:00,West Indies,South Africa,WIN Innings,Bravo Dw.,c Bavuma T. b Rabada K.,1,2,8,0,0
04.07.2021 04:00,West Indies,South Africa,WIN Innings,Hosein A.,not out,2,3,8,0,0
04.07.2021 04:00,West Indies,South Africa,WIN Innings,McCoy O.,c Mulder W. b Ngidi L.,1,3,4,0,0
04.07.2021 04:00,West Indies,South Africa,WIN Innings,Edwards F.,not out,0,3,3,0,0
04.07.2021 04:00,West Indies,South Africa,RSA Innings,Bavuma T.,c Gayle C. b Edwards F.,0,3,3,0,0
04.07.2021 04:00,West Indies,South Africa,RSA Innings,Markram A.,c Simmons L. b McCoy O.,70,48,86,3,4
04.07.2021 04:00,West Indies,South Africa,RSA Innings,de Kock Q.,c Russell A. b Edwards F.,60,42,77,4,2
04.07.2021 04:00,West Indies,South Africa,RSA Innings,Miller D.,not out,18,16,31,1,0
