Player,Team,PTS,REB,AST,MIN,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,+/-
Wainright I.,PHO,7,-,-,12:14,2,2,-,-,1,1,2,2,3
Payne C.,PHO,5,6,3,16:38,2,9,-,-,1,4,-,-,-17
Hoard J.,OKC,4,4,1,23:48,1,3,-,-,-,1,2,2,18
Holiday A.,PHO,-,-,-,05:27,-,-,-,-,-,-,-,-,-2
Lundberg G.,PHO,-,-,1,04:14,-,2,-,-,-,1,-,-,-1
Johnson K.,SAS,28,2,2,37:02,9,20,-,-,6,12,4,6,19
Johnson K.,POR,19,3,2,25:22,8,15,-,-,3,7,-,-,-9
McLemore B.,POR,19,1,3,25:18,6,14,-,-,4,11,3,3,-12
Collins Z.,SAS,18,13,2,30:46,5,9,-,-,1,3,7,10,10
Jones T.,SAS,18,7,7,33:36,7,11,-,-,2,4,2,2,28
Brown III G.,POR,14,2,1,24:06,4,8,-,-,4,5,2,2,-8
Eubanks D.,POR,13,13,1,31:38,5,11,-,-,1,2,2,4,-20
Bates-Diop K.,SAS,12,7,1,20:55,6,8,-,-,-,-,-,-,4
Primo J.,SAS,9,3,-,26:09,2,7,-,-,2,5,3,4,16
Elleby C. J.,POR,8,4,1,26:03,3,6,-,-,2,4,-,2,-9
Richardson J.,SAS,8,4,3,23:46,3,10,-,-,-,5,2,2,3
Vassell D.,SAS,8,6,5,29:52,2,7,-,-,1,5,3,4,-1
Walker L.,SAS,8,4,4,23:32,2,9,-,-,2,7,2,2,10
Perry R.,POR,7,6,1,16:22,3,9,-,-,-,2,1,2,-1
Williams B.,POR,5,3,7,30:05,2,9,-,-,1,5,-,-,-16
Louzada D.,POR,3,1,-,13:12,1,3,-,-,1,2,-,-,-4
Blevins K.,POR,2,1,-,21:14,-,5,-,-,-,5,2,2,-13
Cacok D.,SAS,2,1,-,1:20,1,1,-,-,-,-,-,-,4
Dunn K.,POR,2,5,6,26:40,1,4,-,-,-,2,-,-,-13
Landale J.,SAS,2,3,-,6:00,1,1,-,-,-,-,-,-,5
Langford R.,SAS,-,1,1,5:04,-,1,-,-,-,1,-,-,1
Wieskamp J.,SAS,-,-,-,1:58,-,-,-,-,-,-,-,-,6
Siakam P.,TOR,29,8,5,43:08,11,18,-,-,1,3,6,7,-3
VanVleet F.,TOR,29,2,7,40:51,7,17,-,-,4,11,11,11,-10
Strus M.,MIA,23,3,1,29:09,7,10,-,-,7,9,2,2,10
Oladipo V.,MIA,21,3,4,27:27,7,11,-,-,6,9,1,2,5
Barnes S.,TOR,19,7,2,34:54,7,16,-,-,3,9,2,2,-3
